Date,UserID,CourseID,Event
2021-01-10 10:13:00,4048,455,view_course
2021-01-10 10:14:12,6162,742,view_course
2021-01-10 10:14:52,7852,652,view_course
2021-01-10 10:15:40,6162,742,rundown
2021-01-10 10:16:35,7852,652,teacher_profile
2021-01-10 10:18:14,5960,3694,view_course
2021-01-10 10:18:34,5960,3694,detailed_description
2021-01-10 10:18:56,5960,3694,rundown
2021-01-10 10:20:03,3823,86,view_course
2021-01-10 10:38:44,3216,1704,view_course
2021-01-10 10:38:53,3216,1704,teacher_profile
2021-01-10 10:44:41,6798,1804,view_course
2021-01-10 10:47:19,3904,433,view_course
2021-01-10 10:48:49,6186,3253,view_course
2021-01-10 10:49:30,3904,433,teacher_profile
2021-01-10 10:50:03,6186,3253,rundown
2021-01-10 10:52:09,7804,1103,view_course
2021-01-10 10:54:01,7804,1103,rundown
2021-01-10 11:05:11,4041,1270,view_course
2021-01-10 11:06:17,2068,2116,view_course
2021-01-10 11:07:12,2068,2116,detailed_description
2021-01-10 11:17:22,7055,1724,view_course
2021-01-10 11:19:39,7055,1724,detailed_description
2021-01-10 11:26:57,1274,1802,view_course
2021-01-10 11:27:24,1274,1802,rundown
2021-01-10 11:29:51,4662,659,view_course
2021-01-10 11:29:52,1274,1802,institution
2021-01-10 11:31:22,7048,1920,view_course
2021-01-10 11:32:40,4662,659,detailed_description
2021-01-10 11:34:15,7048,1920,detailed_description
2021-01-10 11:41:40,7566,633,view_course
2021-01-10 11:44:59,5369,1707,view_course
2021-01-10 11:45:20,5682,1478,view_course
2021-01-10 11:45:36,5593,1317,view_course
2021-01-10 11:46:27,5369,1707,detailed_description
2021-01-10 11:46:38,5682,1478,institution
2021-01-10 11:48:06,5369,1707,rundown
2021-01-10 11:50:54,3418,2801,view_course
2021-01-10 11:51:41,6566,3560,view_course
2021-01-10 11:52:15,6566,3560,rundown
2021-01-10 11:52:45,6566,3560,institution
2021-01-10 11:53:00,3418,2801,rundown
2021-01-10 11:54:13,5575,1020,view_course
2021-01-10 11:54:31,900,2115,view_course
2021-01-10 11:54:41,787,866,view_course
2021-01-10 11:55:48,3418,2801,institution
2021-01-10 11:55:59,3349,352,view_course
2021-01-10 11:56:20,6894,1898,view_course
2021-01-10 11:57:03,5575,1020,teacher_profile
2021-01-10 11:57:09,6894,1898,detailed_description
2021-01-10 11:57:19,6894,1898,rundown
2021-01-10 11:57:39,729,2510,view_course
2021-01-10 11:58:40,3349,352,institution
2021-01-10 11:59:30,729,2510,institution
2021-01-10 12:05:41,7804,188,view_course
2021-01-10 12:05:54,6340,3231,view_course
2021-01-10 12:08:21,7804,188,rundown
2021-01-10 12:10:13,7804,188,teacher_profile
2021-01-10 12:13:07,4788,3397,view_course
2021-01-10 12:13:43,4788,3397,rundown
2021-01-10 12:13:52,785,3648,view_course
2021-01-10 12:14:58,3015,2701,view_course
2021-01-10 12:15:17,785,3648,detailed_description
2021-01-10 12:15:57,4788,3397,teacher_profile
2021-01-10 12:17:47,3015,2701,rundown
2021-01-10 12:18:07,785,3648,rundown
2021-01-10 12:18:40,5994,1930,view_course
2021-01-10 12:19:35,3222,2227,view_course
2021-01-10 12:20:03,3015,2701,institution
2021-01-10 12:21:17,3222,2227,rundown
2021-01-10 12:21:57,1671,558,view_course
2021-01-10 12:22:09,3222,2227,teacher_profile
2021-01-10 12:28:46,4077,10,view_course
2021-01-10 12:30:18,4077,10,institution
2021-01-10 12:35:13,4002,3300,view_course
2021-01-10 12:39:49,6344,213,view_course
2021-01-10 12:41:08,1517,173,view_course
2021-01-10 12:41:08,6344,213,institution
2021-01-10 12:41:53,3658,1796,view_course
2021-01-10 12:43:25,1517,173,teacher_profile
2021-01-10 12:44:07,4425,3589,view_course
2021-01-10 12:44:50,1517,173,institution
2021-01-10 12:44:51,4425,3589,detailed_description
2021-01-10 12:45:18,1219,2282,view_course
2021-01-10 12:47:37,402,3364,view_course
2021-01-10 12:52:59,4975,3826,view_course
2021-01-10 12:53:22,459,2380,view_course
2021-01-10 12:53:43,459,2380,detailed_description
2021-01-10 12:56:13,4201,288,view_course
2021-01-10 12:56:30,459,2380,rundown
2021-01-10 12:58:21,459,2380,institution
2021-01-10 13:02:08,432,2719,view_course
2021-01-10 13:02:14,432,2719,rundown
2021-01-10 13:08:19,6400,1391,view_course
2021-01-10 13:10:24,6400,1391,institution
2021-01-10 13:10:35,6578,3594,view_course
2021-01-10 13:12:54,6578,3594,detailed_description
2021-01-10 13:14:39,1366,3892,view_course
2021-01-10 13:14:45,6578,3594,rundown
2021-01-10 13:14:51,7317,689,view_course
2021-01-10 13:16:55,1366,3892,institution
2021-01-10 13:17:38,7317,689,institution
2021-01-10 13:23:28,1043,2156,view_course
2021-01-10 13:24:09,4665,2327,view_course
2021-01-10 13:24:24,4665,2327,detailed_description
2021-01-10 13:24:45,1043,2156,detailed_description
2021-01-10 13:25:43,1043,2156,rundown
2021-01-10 13:26:05,4558,531,view_course
2021-01-10 13:26:54,4665,2327,teacher_profile
2021-01-10 13:27:46,2321,1159,view_course
2021-01-10 13:28:12,4558,531,detailed_description
2021-01-10 13:28:18,4422,1297,view_course
2021-01-10 13:29:12,4422,1297,rundown
2021-01-10 13:29:59,4558,531,rundown
2021-01-10 13:30:27,2321,1159,teacher_profile
2021-01-10 13:31:11,4422,1297,institution
2021-01-10 13:36:57,6006,1303,view_course
2021-01-10 13:37:06,600,262,view_course
2021-01-10 13:37:54,600,262,detailed_description
2021-01-10 13:38:23,314,1636,view_course
2021-01-10 13:38:45,831,2541,view_course
2021-01-10 13:39:15,314,1636,detailed_description
2021-01-10 13:41:01,831,2541,detailed_description
2021-01-10 13:41:14,6655,2746,view_course
2021-01-10 13:41:29,831,2541,rundown
2021-01-10 13:42:56,6655,2746,detailed_description
2021-01-10 13:43:10,6655,2746,rundown
2021-01-10 13:44:01,831,2541,teacher_profile
2021-01-10 13:46:14,7515,2937,view_course
2021-01-10 13:48:08,7515,2937,rundown
2021-01-10 13:51:23,4894,919,view_course
2021-01-10 13:52:10,6812,3291,view_course
2021-01-10 13:52:56,3528,2372,view_course
2021-01-10 13:53:08,6812,3291,rundown
2021-01-10 13:59:12,5736,1906,view_course
2021-01-10 14:00:07,5736,1906,detailed_description
2021-01-10 14:01:51,5957,3596,view_course
2021-01-10 14:02:51,5957,3596,rundown
2021-01-10 14:02:58,5957,3596,teacher_profile
2021-01-10 14:05:17,6193,3089,view_course
2021-01-10 14:06:37,3627,2123,view_course
2021-01-10 14:09:25,3627,2123,institution
2021-01-10 14:10:04,4916,1443,view_course
2021-01-10 14:11:28,4916,1443,detailed_description
2021-01-10 14:12:06,3124,729,view_course
2021-01-10 14:12:35,2209,3416,view_course
2021-01-10 14:13:57,35,3546,view_course
2021-01-10 14:14:23,4916,1443,rundown
2021-01-10 14:14:44,35,3546,institution
2021-01-10 14:14:48,2209,3416,institution
2021-01-10 14:14:57,3124,729,rundown
2021-01-10 14:20:59,1079,2345,view_course
2021-01-10 14:23:08,2331,707,view_course
2021-01-10 14:23:19,2703,3884,view_course
2021-01-10 14:24:10,2703,3884,rundown
2021-01-10 14:25:46,2703,3884,teacher_profile
2021-01-10 14:34:56,4137,304,view_course
2021-01-10 14:35:09,6135,496,view_course
2021-01-10 14:37:19,6135,496,rundown
2021-01-10 14:37:25,4137,304,detailed_description
2021-01-10 14:37:44,2523,2937,view_course
2021-01-10 14:38:29,2548,2446,view_course
2021-01-10 14:39:00,6135,496,teacher_profile
2021-01-10 14:39:43,4137,304,teacher_profile
2021-01-10 14:39:49,7058,987,view_course
2021-01-10 14:40:05,1462,455,view_course
2021-01-10 14:40:23,2548,2446,rundown
2021-01-10 14:41:27,2548,2446,teacher_profile
2021-01-10 14:42:10,1462,455,rundown
2021-01-10 14:42:27,7058,987,detailed_description
2021-01-10 14:42:44,1462,455,teacher_profile
2021-01-10 14:42:58,7058,987,teacher_profile
2021-01-10 14:43:39,5569,3981,view_course
2021-01-10 14:43:55,1462,455,institution
2021-01-10 14:46:33,5569,3981,teacher_profile
2021-01-10 14:46:39,1410,1299,view_course
2021-01-10 14:47:25,5569,3981,institution
2021-01-10 14:47:31,1410,1299,detailed_description
2021-01-10 14:48:03,1410,1299,rundown
2021-01-10 14:49:43,2326,1884,view_course
2021-01-10 14:51:03,3084,1685,view_course
2021-01-10 14:52:34,324,1898,view_course
2021-01-10 14:52:42,2326,1884,detailed_description
2021-01-10 14:53:04,2326,1884,rundown
2021-01-10 14:53:56,3084,1685,rundown
2021-01-10 14:59:53,4153,45,view_course
2021-01-10 15:00:52,4153,45,detailed_description
2021-01-10 15:01:23,4153,45,teacher_profile
2021-01-10 15:02:53,1296,3531,view_course
2021-01-10 15:05:53,4090,2050,view_course
2021-01-10 15:08:24,4090,2050,detailed_description
2021-01-10 15:14:17,970,1256,view_course
2021-01-10 15:15:58,970,1256,detailed_description
2021-01-10 15:17:58,3423,1603,view_course
2021-01-10 15:18:06,6733,3453,view_course
2021-01-10 15:18:12,2824,1591,view_course
2021-01-10 15:18:51,1436,3369,view_course
2021-01-10 15:19:19,6733,3453,rundown
2021-01-10 15:20:05,2824,1591,rundown
2021-01-10 15:20:18,6733,3453,institution
2021-01-10 15:20:43,1436,3369,teacher_profile
2021-01-10 15:22:32,1436,3369,institution
2021-01-10 15:22:36,2824,1591,teacher_profile
2021-01-10 15:24:30,7405,2586,view_course
2021-01-10 15:25:19,7405,2586,detailed_description
2021-01-10 15:26:18,7405,2586,teacher_profile
2021-01-10 15:26:35,7006,3455,view_course
2021-01-10 15:27:45,7006,3455,institution
2021-01-10 15:28:36,423,3973,view_course
2021-01-10 15:28:42,7405,2586,institution
2021-01-10 15:28:43,423,3973,detailed_description
2021-01-10 15:30:08,2308,2776,view_course
2021-01-10 15:30:14,2308,2776,detailed_description
2021-01-10 15:30:25,423,3973,rundown
2021-01-10 15:32:34,2308,2776,teacher_profile
2021-01-10 15:32:56,1683,2471,view_course
2021-01-10 15:33:41,3197,2250,view_course
2021-01-10 15:35:42,5850,202,view_course
2021-01-10 15:36:36,3197,2250,teacher_profile
2021-01-10 15:38:49,7873,255,view_course
2021-01-10 15:39:28,3197,2250,institution
2021-01-10 15:40:39,1365,664,view_course
2021-01-10 15:43:34,1365,664,rundown
2021-01-10 15:43:59,4030,679,view_course
2021-01-10 15:45:54,3146,1450,view_course
2021-01-10 15:46:40,4030,679,teacher_profile
2021-01-10 15:48:12,3146,1450,rundown
2021-01-10 15:51:12,3146,1450,institution
2021-01-10 15:56:50,6980,248,view_course
2021-01-10 15:57:40,3765,142,view_course
2021-01-10 15:57:52,6980,248,detailed_description
2021-01-10 15:58:34,3960,2728,view_course
2021-01-10 15:58:39,3765,142,rundown
2021-01-10 15:59:16,3960,2728,institution
2021-01-10 16:01:01,3765,142,teacher_profile
2021-01-10 16:01:35,2624,3709,view_course
2021-01-10 16:01:58,2624,3709,rundown
2021-01-10 16:02:13,4348,3859,view_course
2021-01-10 16:02:21,4972,2636,view_course
2021-01-10 16:07:13,3839,839,view_course
2021-01-10 16:08:43,3839,839,rundown
2021-01-10 16:12:18,4795,2047,view_course
2021-01-10 16:14:20,4795,2047,rundown
2021-01-10 16:17:49,2480,1558,view_course
2021-01-10 16:20:48,1511,934,view_course
2021-01-10 16:23:30,4426,3931,view_course
2021-01-10 16:23:55,976,941,view_course
2021-01-10 16:25:03,4426,3931,rundown
2021-01-10 16:26:34,4846,2775,view_course
2021-01-10 16:27:27,1112,1696,view_course
2021-01-10 16:27:43,1112,1696,rundown
2021-01-10 16:29:15,4846,2775,detailed_description
2021-01-10 16:29:57,1112,1696,institution
2021-01-10 16:31:17,2798,3377,view_course
2021-01-10 16:31:39,3220,712,view_course
2021-01-10 16:32:44,2798,3377,rundown
2021-01-10 16:33:56,3220,712,rundown
2021-01-10 16:37:18,5136,2907,view_course
2021-01-10 16:38:02,3918,592,view_course
2021-01-10 16:38:17,5136,2907,institution
2021-01-10 16:38:54,3918,592,rundown
2021-01-10 16:39:50,6558,3989,view_course
2021-01-10 16:40:37,3436,3249,view_course
2021-01-10 16:40:42,6558,3989,rundown
2021-01-10 16:40:54,3436,3249,rundown
2021-01-10 16:42:04,7690,3581,view_course
2021-01-10 16:42:27,6558,3989,teacher_profile
2021-01-10 16:42:54,5597,1559,view_course
2021-01-10 16:44:03,1969,726,view_course
2021-01-10 16:44:06,534,3329,view_course
2021-01-10 16:44:16,4992,2920,view_course
2021-01-10 16:44:31,5597,1559,institution
2021-01-10 16:44:39,1969,726,rundown
2021-01-10 16:44:43,534,3329,detailed_description
2021-01-10 16:44:46,1668,1011,view_course
2021-01-10 16:46:23,1668,1011,teacher_profile
2021-01-10 16:58:02,1647,3411,view_course
2021-01-10 16:58:45,7198,2285,view_course
2021-01-10 17:00:31,1647,3411,detailed_description
2021-01-10 17:02:32,1647,3411,rundown
2021-01-10 17:08:22,4956,3453,view_course
2021-01-10 17:09:44,4956,3453,detailed_description
2021-01-10 17:09:49,1800,589,view_course
2021-01-10 17:14:02,2870,3198,view_course
2021-01-10 17:15:57,4491,2418,view_course
2021-01-10 17:17:48,4491,2418,detailed_description
2021-01-10 17:18:53,3158,3848,view_course
2021-01-10 17:19:29,3158,3848,teacher_profile
2021-01-10 17:20:11,4102,1001,view_course
2021-01-10 17:23:40,7007,51,view_course
2021-01-10 17:24:46,7007,51,rundown
2021-01-10 17:30:46,7856,822,view_course
2021-01-10 17:30:54,4992,3791,view_course
2021-01-10 17:31:24,4992,3791,rundown
2021-01-10 17:33:02,5371,2660,view_course
2021-01-10 17:33:13,3536,1849,view_course
2021-01-10 17:33:19,7856,822,rundown
2021-01-10 17:37:00,2242,125,view_course
2021-01-10 17:38:04,2242,125,detailed_description
2021-01-10 17:39:14,4173,3664,view_course
2021-01-10 17:40:05,4173,3664,rundown
2021-01-10 17:44:04,6747,3848,view_course
2021-01-10 17:45:02,4796,968,view_course
2021-01-10 17:45:05,6747,3848,detailed_description
